ID	VALID	TRANSACTIONAL_PROFILE_CODE	TRANSACTIONAL_PROFILE_NAME	GLOBAL_PROFILE_CODE	GLOBAL_PROFILE_NAME	APPLICATION_CODE	APPLICATION_NAME	TRANSACTIONAL_PROFILE_RISK_LEVEL	GLOBAL_PROFILE_STATUS
17629	1	AT_TAM_MANUAL_001	GRUPO: ADMINBIENYSERV ROLES:	01_ABS_ABI_005	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ANALISTA BIENES Y ADMINISTRADOR DE SUCURSAL	TAM_MANUAL	TAM_MANUAL	ALTO	ACTIVO
17872	1	AT_BPADAL01	SI ADMINISTRATIVA ASISTENTE LOGISTICA ACTIVOS FIJOS	01_ABS_ALA_006	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ASISTENTE LOGISTICA ACTIVOS FIJOS	PPRD	PPRD	MEDIO	ACTIVO
16001	1	AT_CAPITAL_031	PERFIL: BP_CAPITAL_MOD_RPT_PERFIL_USUARIO QUE EJECUTA REPORTES	01_ABS_ALA_006	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ASISTENTE LOGISTICA ACTIVOS FIJOS	CAPITAL	CAPITAL	BAJO	ACTIVO
16009	1	AT_EBS_012	BP AP USUARIO SOLICITANTE I EXPENSES	01_ABS_ALA_006	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ASISTENTE LOGISTICA ACTIVOS FIJOS	EBS	EBS	BAJO	ACTIVO
16029	1	AT_EBS_064	BP FA AUXILIAR INVENTARIOS	01_ABS_ALA_006	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ASISTENTE LOGISTICA ACTIVOS FIJOS	EBS	EBS	MEDIO	ACTIVO
16032	1	AT_SAS_007	INACTIVO PERFIL: ASIGNAR EN SAS EL GRUPO DE BI PARA USUARIOS ANALITICOS DE COMPORTAMIENTO CANALES-GRP_BI_CAN_ANL	01_ABS_ALA_006	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ASISTENTE LOGISTICA ACTIVOS FIJOS	SAS	SAS	ALTO	ACTIVO
16035	1	AT_SAS_050	PERFIL: ASIGNAR EN SAS GRUPO: USUARIOS RECURSOS HUMANOS	01_ABS_ALA_006	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ASISTENTE LOGISTICA ACTIVOS FIJOS	SAS	SAS	ALTO	ACTIVO
18362	1	AT_BANCS_CAP-03 USER TYPE-17	BANCS_CAP-03 USER TYPE-17	01_ABS_EBA_004	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ESPECIALISTA BIENES ADJUDICADOS	BANCS	BANCS	BAJO	ACTIVO
17873	1	AT_BPADEB00	RO ADMINISTRATIVO - ESPECIALISTA BIENES ADJUDICADOS	01_ABS_EBA_004	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ESPECIALISTA BIENES ADJUDICADOS	PPRD	PPRD	ALTO	ACTIVO
16001	1	AT_CAPITAL_031	PERFIL: BP_CAPITAL_MOD_RPT_PERFIL_USUARIO QUE EJECUTA REPORTES	01_ABS_EBA_004	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ESPECIALISTA BIENES ADJUDICADOS	CAPITAL	CAPITAL	BAJO	ACTIVO
16037	1	AT_EBS_009	BP AP CONTROL	01_ABS_EBA_004	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ESPECIALISTA BIENES ADJUDICADOS	EBS	EBS	MEDIO	ACTIVO
16009	1	AT_EBS_012	BP AP USUARIO SOLICITANTE I EXPENSES	01_ABS_EBA_004	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ESPECIALISTA BIENES ADJUDICADOS	EBS	EBS	BAJO	ACTIVO
16038	1	AT_EBS_015	BP AR CONSULTA MAESTRO	01_ABS_EBA_004	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ESPECIALISTA BIENES ADJUDICADOS	EBS	EBS	BAJO	ACTIVO
16040	1	AT_EBS_025	BP FA TRIBUTARIO	01_ABS_EBA_004	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ESPECIALISTA BIENES ADJUDICADOS	EBS	EBS	MEDIO	ACTIVO
16041	1	AT_EBS_039	BP LOC CONSULTAS	01_ABS_EBA_004	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ESPECIALISTA BIENES ADJUDICADOS	EBS	EBS	BAJO	ACTIVO
16021	1	AT_EBS_058	BP PA CONSULTA BASICA	01_ABS_EBA_004	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ESPECIALISTA BIENES ADJUDICADOS	EBS	EBS	BAJO	ACTIVO
16024	1	AT_JERARQUIA_EBS_003	JERARQUIA USUARIO CENTRAL	01_ABS_EBA_004	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ESPECIALISTA BIENES ADJUDICADOS	JERARQUIA_EBS	JERARQUIA_EBS	MEDIO	ACTIVO
19404	1	AT_RED_EXC_1074	ACCESO A RED Y CORREO	01_ABS_EBA_004	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ESPECIALISTA BIENES ADJUDICADOS	AD	ACTIVE DIRECTORY	ALTO	ACTIVO
16043	1	AT_SES_004	PERFIL: ENVIAR A SOPORTE EN SITIO A CONFIGURAR WIRELESS	01_ABS_EBA_004	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ESPECIALISTA BIENES ADJUDICADOS	SES	SES	BAJO	ACTIVO
16044	1	AT_SES_007	PERFIL: ENVIAR A SOPORTE EN SITIO A CONFIGURAR CORREO MOVIL	01_ABS_EBA_004	BP ADMINISTRACION BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - ESPECIALISTA BIENES ADJUDICADOS	SES	SES	BAJO	ACTIVO
16001	1	AT_CAPITAL_031	PERFIL: BP_CAPITAL_MOD_RPT_PERFIL_USUARIO QUE EJECUTA REPORTES	01_ABS_SAF_002	BP ADMINISTRACIÓN DE BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - SUPERVISOR LOGISTICA ACTIVOS FIJOS	CAPITAL	CAPITAL	BAJO	ACTIVO
16009	1	AT_EBS_012	BP AP USUARIO SOLICITANTE I EXPENSES	01_ABS_SAF_002	BP ADMINISTRACIÓN DE BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - SUPERVISOR LOGISTICA ACTIVOS FIJOS	EBS	EBS	BAJO	ACTIVO
16046	1	AT_EBS_028	BP INV ADMINISTRADOR	01_ABS_SAF_002	BP ADMINISTRACIÓN DE BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - SUPERVISOR LOGISTICA ACTIVOS FIJOS	EBS	EBS	ALTO	ACTIVO
16014	1	AT_EBS_036	BP IP SOLICITANTE	01_ABS_SAF_002	BP ADMINISTRACIÓN DE BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - SUPERVISOR LOGISTICA ACTIVOS FIJOS	EBS	EBS	MEDIO	ACTIVO
16021	1	AT_EBS_058	BP PA CONSULTA BASICA	01_ABS_SAF_002	BP ADMINISTRACIÓN DE BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - SUPERVISOR LOGISTICA ACTIVOS FIJOS	EBS	EBS	BAJO	ACTIVO
16049	1	AT_EBS_059	BP FA ADMINISTRADOR INVENTARIOS	01_ABS_SAF_002	BP ADMINISTRACIÓN DE BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - SUPERVISOR LOGISTICA ACTIVOS FIJOS	EBS	EBS	ALTO	ACTIVO
16029	1	AT_EBS_064	BP FA AUXILIAR INVENTARIOS	01_ABS_SAF_002	BP ADMINISTRACIÓN DE BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - SUPERVISOR LOGISTICA ACTIVOS FIJOS	EBS	EBS	MEDIO	ACTIVO
16052	1	AT_HP_SERVICE_MANAGER_012	ROL: COORDINADOR DE ESPECIALISTA DE SERVICIO	01_ABS_SAF_002	BP ADMINISTRACIÓN DE BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - SUPERVISOR LOGISTICA ACTIVOS FIJOS	HP_SERVICE_MANAGER	HP_SERVICE_MANAGER	BAJO	ACTIVO
16024	1	AT_JERARQUIA_EBS_003	JERARQUIA USUARIO CENTRAL	01_ABS_SAF_002	BP ADMINISTRACIÓN DE BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - SUPERVISOR LOGISTICA ACTIVOS FIJOS	JERARQUIA_EBS	JERARQUIA_EBS	MEDIO	ACTIVO
16044	1	AT_SES_007	PERFIL: ENVIAR A SOPORTE EN SITIO A CONFIGURAR CORREO MOVIL	01_ABS_SAF_002	BP ADMINISTRACIÓN DE BIENES Y SERVICIOS - ADMINISTRACION BIENES Y SERVICIOS - SUPERVISOR LOGISTICA ACTIVOS FIJOS	SES	SES	BAJO	ACTIVO
16015	1	AT_EBS_037	BP IP SOLICITANTE CENTRALIZADOR	01_ADA_ARQ_002	BP ARQUITECTURA DE APLICACIONES - ARQUITECTO - EBS	EBS	EBS	MEDIO	ACTIVO
16017	1	AT_EBS_045	BP PO SOLICITANTE CENTRALIZADOR	01_ADA_ARQ_002	BP ARQUITECTURA DE APLICACIONES - ARQUITECTO - EBS	EBS	EBS	MEDIO	ACTIVO
16055	1	AT_JERARQUIA_EBS_002	JERARQUIA SOLICITUD DE COMPRA	01_ADA_ARQ_002	BP ARQUITECTURA DE APLICACIONES - ARQUITECTO - EBS	JERARQUIA_EBS	JERARQUIA_EBS	BAJO	ACTIVO
16024	1	AT_JERARQUIA_EBS_003	JERARQUIA USUARIO CENTRAL	01_ADA_ARQ_002	BP ARQUITECTURA DE APLICACIONES - ARQUITECTO - EBS	JERARQUIA_EBS	JERARQUIA_EBS	MEDIO	ACTIVO
18734	1	AT_RED_EXC_1819	ACCESO A RED Y CORREO	01_ADA_ARQ_002	BP ARQUITECTURA DE APLICACIONES - ARQUITECTO - EBS	AD	ACTIVE DIRECTORY	MEDIO	ACTIVO
16043	1	AT_SES_004	PERFIL: ENVIAR A SOPORTE EN SITIO A CONFIGURAR WIRELESS	01_ADA_ARQ_002	BP ARQUITECTURA DE APLICACIONES - ARQUITECTO - EBS	SES	SES	BAJO	ACTIVO
16044	1	AT_SES_007	PERFIL: ENVIAR A SOPORTE EN SITIO A CONFIGURAR CORREO MOVIL	01_ADA_ARQ_002	BP ARQUITECTURA DE APLICACIONES - ARQUITECTO - EBS	SES	SES	BAJO	ACTIVO
16009	1	AT_EBS_012	BP AP USUARIO SOLICITANTE I EXPENSES	01_ADM_ADZ_005	BP ADMINISTRATIVA - ADMINISTRATIVA - AUXILIAR ADMINISTRATIVO ZONAL (ACCESO INTERNET RESTRINGIDO)	EBS	EBS	BAJO	ACTIVO
16057	1	AT_EBS_034	BP IP ENTES DE CONTROL/CONSULTA	01_ADM_ADZ_005	BP ADMINISTRATIVA - ADMINISTRATIVA - AUXILIAR ADMINISTRATIVO ZONAL (ACCESO INTERNET RESTRINGIDO)	EBS	EBS	BAJO	ACTIVO
16014	1	AT_EBS_036	BP IP SOLICITANTE	01_ADM_ADZ_005	BP ADMINISTRATIVA - ADMINISTRATIVA - AUXILIAR ADMINISTRATIVO ZONAL (ACCESO INTERNET RESTRINGIDO)	EBS	EBS	MEDIO	ACTIVO
16015	1	AT_EBS_037	BP IP SOLICITANTE CENTRALIZADOR	01_ADM_ADZ_005	BP ADMINISTRATIVA - ADMINISTRATIVA - AUXILIAR ADMINISTRATIVO ZONAL (ACCESO INTERNET RESTRINGIDO)	EBS	EBS	MEDIO	ACTIVO
16017	1	AT_EBS_045	BP PO SOLICITANTE CENTRALIZADOR	01_ADM_ADZ_005	BP ADMINISTRATIVA - ADMINISTRATIVA - AUXILIAR ADMINISTRATIVO ZONAL (ACCESO INTERNET RESTRINGIDO)	EBS	EBS	MEDIO	ACTIVO
16018	1	AT_EBS_047	BP PPTO CONSULTAS	01_ADM_ADZ_005	BP ADMINISTRATIVA - ADMINISTRATIVA - AUXILIAR ADMINISTRATIVO ZONAL (ACCESO INTERNET RESTRINGIDO)	EBS	EBS	BAJO	ACTIVO
16029	1	AT_EBS_064	BP FA AUXILIAR INVENTARIOS	01_ADM_ADZ_005	BP ADMINISTRATIVA - ADMINISTRATIVA - AUXILIAR ADMINISTRATIVO ZONAL (ACCESO INTERNET RESTRINGIDO)	EBS	EBS	MEDIO	ACTIVO
16024	1	AT_JERARQUIA_EBS_003	JERARQUIA USUARIO CENTRAL	01_ADM_ADZ_005	BP ADMINISTRATIVA - ADMINISTRATIVA - AUXILIAR ADMINISTRATIVO ZONAL (ACCESO INTERNET RESTRINGIDO)	JERARQUIA_EBS	JERARQUIA_EBS	MEDIO	ACTIVO
19701	1	AT_RED_EXC_732	ACCESO A RED Y CORREO	01_ADM_ADZ_005	BP ADMINISTRATIVA - ADMINISTRATIVA - AUXILIAR ADMINISTRATIVO ZONAL (ACCESO INTERNET RESTRINGIDO)	AD	ACTIVE DIRECTORY	ALTO	ACTIVO
18517	1	AT_ANALISTAEFECTIVO1_001	ANALISTAEFECTIVO1_001	01_ADM_AGE_007	BP SEGURIDAD INTEGRAL GESTION DEL EFECTIVO Y VALORADOS - ANALISTA GESTION DEL EFECTIVO Y VALORADOS	RHDS	RHDS	MEDIO	ACTIVO
18368	1	AT_BANCS_CAP-03 USER TYPE-37	BANCS_CAP-03 USER TYPE-37	01_ADM_AGE_007	BP SEGURIDAD INTEGRAL GESTION DEL EFECTIVO Y VALORADOS - ANALISTA GESTION DEL EFECTIVO Y VALORADOS	BANCS	BANCS	ALTO	ACTIVO
17875	1	AT_BPGEAE00	BP ANALISTA GESTION DEL EFECTIVO Y VALORADOS	01_ADM_AGE_007	BP SEGURIDAD INTEGRAL GESTION DEL EFECTIVO Y VALORADOS - ANALISTA GESTION DEL EFECTIVO Y VALORADOS	PPRD	PPRD	ALTO	ACTIVO
16058	1	AT_EASYPAGOS_130	EMPRESA: TODAS LAS EMPRESAS	01_ADM_AGE_007	BP SEGURIDAD INTEGRAL GESTION DEL EFECTIVO Y VALORADOS - ANALISTA GESTION DEL EFECTIVO Y VALORADOS	EASYPAGOS	EASYPAGOS	ALTO	ACTIVO
16060	1	AT_EASYPAGOS_146	PERFIL: OPEBANCOTEC1_SG_NR	01_ADM_AGE_007	BP SEGURIDAD INTEGRAL GESTION DEL EFECTIVO Y VALORADOS - ANALISTA GESTION DEL EFECTIVO Y VALORADOS	EASYPAGOS	EASYPAGOS	ALTO	ACTIVO
16009	1	AT_EBS_012	BP AP USUARIO SOLICITANTE I EXPENSES	01_ADM_AGE_007	BP SEGURIDAD INTEGRAL GESTION DEL EFECTIVO Y VALORADOS - ANALISTA GESTION DEL EFECTIVO Y VALORADOS	EBS	EBS	BAJO	ACTIVO
16015	1	AT_EBS_037	BP IP SOLICITANTE CENTRALIZADOR	01_ADM_AGE_007	BP SEGURIDAD INTEGRAL GESTION DEL EFECTIVO Y VALORADOS - ANALISTA GESTION DEL EFECTIVO Y VALORADOS	EBS	EBS	MEDIO	ACTIVO
16017	1	AT_EBS_045	BP PO SOLICITANTE CENTRALIZADOR	01_ADM_AGE_007	BP SEGURIDAD INTEGRAL GESTION DEL EFECTIVO Y VALORADOS - ANALISTA GESTION DEL EFECTIVO Y VALORADOS	EBS	EBS	MEDIO	ACTIVO
16018	1	AT_EBS_047	BP PPTO CONSULTAS	01_ADM_AGE_007	BP SEGURIDAD INTEGRAL GESTION DEL EFECTIVO Y VALORADOS - ANALISTA GESTION DEL EFECTIVO Y VALORADOS	EBS	EBS	BAJO	ACTIVO
16029	1	AT_EBS_064	BP FA AUXILIAR INVENTARIOS	01_ADM_AGE_007	BP SEGURIDAD INTEGRAL GESTION DEL EFECTIVO Y VALORADOS - ANALISTA GESTION DEL EFECTIVO Y VALORADOS	EBS	EBS	MEDIO	ACTIVO
16023	1	AT_EBS_140	BP GL INGRESADOR C	01_ADM_AGE_007	BP SEGURIDAD INTEGRAL GESTION DEL EFECTIVO Y VALORADOS - ANALISTA GESTION DEL EFECTIVO Y VALORADOS	EBS	EBS	MEDIO	ACTIVO
16024	1	AT_JERARQUIA_EBS_003	JERARQUIA USUARIO CENTRAL	01_ADM_AGE_007	BP SEGURIDAD INTEGRAL GESTION DEL EFECTIVO Y VALORADOS - ANALISTA GESTION DEL EFECTIVO Y VALORADOS	JERARQUIA_EBS	JERARQUIA_EBS	MEDIO	ACTIVO
17876	1	AT_BPADSG00	RO ADMINISTRATIVO SERVICIOS GENERALES ACCESO A MCS	01_ADM_ARS_001	BP ADMINISTRATIVA - SEGURIDAD INTEGRAL GESTIÓN DEL EFECTIVO Y VALORADOS - ANALISTA REGIONAL SEGURIDAD	PPRD	PPRD	ALTO	ACTIVO
16009	1	AT_EBS_012	BP AP USUARIO SOLICITANTE I EXPENSES	01_ADM_ARS_001	BP ADMINISTRATIVA - SEGURIDAD INTEGRAL GESTIÓN DEL EFECTIVO Y VALORADOS - ANALISTA REGIONAL SEGURIDAD	EBS	EBS	BAJO	ACTIVO
19169	1	AT_RED_EXC_1336	ACCESO A RED Y CORREO	01_ADM_ARS_001	BP ADMINISTRATIVA - SEGURIDAD INTEGRAL GESTIÓN DEL EFECTIVO Y VALORADOS - ANALISTA REGIONAL SEGURIDAD	AD	ACTIVE DIRECTORY	ALTO	ACTIVO
16001	1	AT_CAPITAL_031	PERFIL: BP_CAPITAL_MOD_RPT_PERFIL_USUARIO QUE EJECUTA REPORTES	01_ADM_ASA_005	BP ADMINISTRACION BIENES Y SERVICIOS - GESTION Y CONTROL DOCUMENTAL - ANALISTA GESTION Y CONTROL DOCUMENTAL	CAPITAL	CAPITAL	BAJO	ACTIVO
16009	1	AT_EBS_012	BP AP USUARIO SOLICITANTE I EXPENSES	01_ADM_ASA_005	BP ADMINISTRACION BIENES Y SERVICIOS - GESTION Y CONTROL DOCUMENTAL - ANALISTA GESTION Y CONTROL DOCUMENTAL	EBS	EBS	BAJO	ACTIVO
16061	1	AT_EBS_030	BP INV GENERADOR DE PEDIDOS	01_ADM_ASA_005	BP ADMINISTRACION BIENES Y SERVICIOS - GESTION Y CONTROL DOCUMENTAL - ANALISTA GESTION Y CONTROL DOCUMENTAL	EBS	EBS	MEDIO	ACTIVO
16014	1	AT_EBS_036	BP IP SOLICITANTE	01_ADM_ASA_005	BP ADMINISTRACION BIENES Y SERVICIOS - GESTION Y CONTROL DOCUMENTAL - ANALISTA GESTION Y CONTROL DOCUMENTAL	EBS	EBS	MEDIO	ACTIVO
16015	1	AT_EBS_037	BP IP SOLICITANTE CENTRALIZADOR	01_ADM_ASA_005	BP ADMINISTRACION BIENES Y SERVICIOS - GESTION Y CONTROL DOCUMENTAL - ANALISTA GESTION Y CONTROL DOCUMENTAL	EBS	EBS	MEDIO	ACTIVO
16017	1	AT_EBS_045	BP PO SOLICITANTE CENTRALIZADOR	01_ADM_ASA_005	BP ADMINISTRACION BIENES Y SERVICIOS - GESTION Y CONTROL DOCUMENTAL - ANALISTA GESTION Y CONTROL DOCUMENTAL	EBS	EBS	MEDIO	ACTIVO
16018	1	AT_EBS_047	BP PPTO CONSULTAS	01_ADM_ASA_005	BP ADMINISTRACION BIENES Y SERVICIOS - GESTION Y CONTROL DOCUMENTAL - ANALISTA GESTION Y CONTROL DOCUMENTAL	EBS	EBS	BAJO	ACTIVO
16063	1	AT_EBS_052	BP PON ESP. RUBRO-EQ. COLABORADOR	01_ADM_ASA_005	BP ADMINISTRACION BIENES Y SERVICIOS - GESTION Y CONTROL DOCUMENTAL - ANALISTA GESTION Y CONTROL DOCUMENTAL	EBS	EBS	MEDIO	ACTIVO
16020	1	AT_EBS_057	BP INV CONSULTA DE STOCK	01_ADM_ASA_005	BP ADMINISTRACION BIENES Y SERVICIOS - GESTION Y CONTROL DOCUMENTAL - ANALISTA GESTION Y CONTROL DOCUMENTAL	EBS	EBS	BAJO	ACTIVO
16064	1	AT_HUMMINGBIRD_005	PERFIL: I_ADMINISTRADOR	01_ADM_ASA_005	BP ADMINISTRACION BIENES Y SERVICIOS - GESTION Y CONTROL DOCUMENTAL - ANALISTA GESTION Y CONTROL DOCUMENTAL	HUMMINGBIRD	HUMMINGBIRD	ALTO	ACTIVO
16055	1	AT_JERARQUIA_EBS_002	JERARQUIA SOLICITUD DE COMPRA	01_ADM_ASA_005	BP ADMINISTRACION BIENES Y SERVICIOS - GESTION Y CONTROL DOCUMENTAL - ANALISTA GESTION Y CONTROL DOCUMENTAL	JERARQUIA_EBS	JERARQUIA_EBS	BAJO	ACTIVO
16024	1	AT_JERARQUIA_EBS_003	JERARQUIA USUARIO CENTRAL	01_ADM_ASA_005	BP ADMINISTRACION BIENES Y SERVICIOS - GESTION Y CONTROL DOCUMENTAL - ANALISTA GESTION Y CONTROL DOCUMENTAL	JERARQUIA_EBS	JERARQUIA_EBS	MEDIO	ACTIVO
16043	1	AT_SES_004	PERFIL: ENVIAR A SOPORTE EN SITIO A CONFIGURAR WIRELESS	01_ADM_ASA_005	BP ADMINISTRACION BIENES Y SERVICIOS - GESTION Y CONTROL DOCUMENTAL - ANALISTA GESTION Y CONTROL DOCUMENTAL	SES	SES	BAJO	ACTIVO
17878	1	AT_BPRCCU03	RO CAJERO - CENTRO DE ACOPIO	01_ADM_CAJ_012	BP CONTROL FINANCIERO ADMINISTRATIVO - CAJERO CENTRO DE ACOPIO	PPRD	PPRD	ALTO	ACTIVO
